OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
75.52,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2011,A,YR,NA
49,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2011,A,RANK,NA
75.33,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2010,A,YR,NA
48,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2010,A,RANK,NA
75,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2009,A,YR,NA
45,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2009,A,RANK,NA
75,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2008,A,YR,NA
42,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2008,A,RANK,NA
75,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2007,A,YR,NA
40,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2007,A,RANK,NA
74.8,602,0,NA,A,PU,NA,NA,NA,NA,TRUE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2017,A,YR,NA
68,602,0,NA,A,PU,NA,NA,NA,NA,TRUE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2017,A,RANK,NA
74.68,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2016,A,YR,NA
68,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2016,A,RANK,NA
74.54,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2015,A,YR,NA
64,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2015,A,RANK,NA
74.44,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2014,A,YR,NA
67,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2014,A,RANK,NA
73.92,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2013,A,YR,NA
71,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2013,A,RANK,NA
73.78,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2012,A,YR,NA
64,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2012,A,RANK,NA
73.73,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2011,A,YR,NA
64,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2011,A,RANK,NA
73.54,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2010,A,YR,NA
65,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2010,A,RANK,NA
69,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2009,A,YR,NA
88,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2009,A,RANK,NA
69,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2008,A,YR,NA
87,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2008,A,RANK,NA
68,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2007,A,YR,NA
85,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARM,_T,_T,_T,_Z,_Z,_Z,2007,A,RANK,NA
82.45,602,0,NA,A,PU,NA,NA,NA,NA,TRUE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2017,A,YR,NA
10,602,0,NA,A,PU,NA,NA,NA,NA,TRUE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2017,A,RANK,NA
82.25,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2016,A,YR,NA
8,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2016,A,RANK,NA
82.2,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2015,A,YR,NA
8,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2015,A,RANK,NA
82.1,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2014,A,YR,NA
9,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2014,A,RANK,NA
81.85,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2013,A,YR,NA
9,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2013,A,RANK,NA
81.7,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2012,A,YR,NA
5,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2012,A,RANK,NA
