country_code,year,gdp_per_capita,log_gdp_per_capita,region
ROU,2017,10727.982201,9.280610765843807,Europe & Central Asia
RUS,2017,10658.913086,9.27415173060767,Europe & Central Asia
RWA,2017,751.04904,6.621470949232741,Sub-Saharan Africa
WSM,2017,4307.59382,8.368134748780097,East Asia & Pacific
SMR,2017,45192.053005,10.718676531888992,Europe & Central Asia
STP,2017,1555.794778,7.349741805294486,Sub-Saharan Africa
SAU,2017,23929.290714,10.082858540429713,Middle East & North Africa
SEN,2017,1354.770072,7.211387030354183,Sub-Saharan Africa
COM,2008,1455.027686,7.2827802076032535,Sub-Saharan Africa
COD,2008,352.900363,5.866185759300701,Sub-Saharan Africa
COG,2008,2832.091778,7.948770861774375,Sub-Saharan Africa
CRI,2008,6937.242617,8.844659657114207,Latin America & Caribbean
CIV,2008,1583.970667,7.367690053894824,Sub-Saharan Africa
HRV,2008,15888.118439,9.673326840877007,Europe & Central Asia
CUB,2008,4986.124365,8.514414206612388,Latin America & Caribbean
CUW,2008,19423.335243,9.874230469787179,Latin America & Caribbean
CYP,2008,35541.886719,10.47846718749709,Europe & Central Asia
CZE,2008,22774.704508,10.033405747642234,Europe & Central Asia
DNK,2008,64616.665758,11.076227640368547,Europe & Central Asia
DJI,2008,1119.152333,7.020326832201251,Middle East & North Africa
ARE,2015,44910.345886,10.712423467811199,Middle East & North Africa
GBR,2015,45256.040227,10.72009142589921,Europe & Central Asia
USA,2015,56849.469792,10.948162172697195,North America
URY,2015,17125.90168,9.74834731459103,Latin America & Caribbean
UZB,2015,3172.898994,8.062400958110869,Europe & Central Asia
VUT,2015,3214.419486,8.075402056137865,East Asia & Pacific
VEN,2015,4096.619891,8.317917495844686,Latin America & Caribbean
VNM,2015,2577.568853,7.85460192862841,East Asia & Pacific
VIR,2015,34007.352941,10.434332043187421,Latin America & Caribbean
PSE,2015,3272.154324,8.093203861647076,Middle East & North Africa
YEM,2015,1362.173812,7.216837093838981,Middle East & North Africa
MLI,2014,947.915033,6.854264870601094,Sub-Saharan Africa
MLT,2014,27424.569362,10.219194582631815,Middle East & North Africa
MHL,2014,3735.239778,8.225567293096702,East Asia & Pacific
MRT,2014,1718.970894,7.44948107330233,Sub-Saharan Africa
MUS,2014,10490.331556,9.258209307754536,Sub-Saharan Africa
MEX,2014,11391.37735,9.340611975381336,Latin America & Caribbean
FSM,2014,2915.236725,7.977706304749735,East Asia & Pacific
MDA,2014,3289.957586,8.098629951883005,Europe & Central Asia
MCO,2014,195693.519541,12.184305038584473,Europe & Central Asia
MNG,2014,4126.239758,8.3251218010074,East Asia & Pacific
MNE,2014,7342.171474,8.901389919000612,Europe & Central Asia
MMR,2015,1166.733055,7.061962861476122,East Asia & Pacific
NAM,2015,4774.106509,8.470962116871942,Sub-Saharan Africa
NRU,2015,7747.25585,8.955093975773929,East Asia & Pacific
