country_code,country,year,life_expectancy,health_expenditure_gdp
BEL,Belgium,2016,80.59,6.41270911563993
BEL,Belgium,2016,80.59,0.0376669728077008
BEL,Belgium,2017,81.29,0.115200539265251
BEL,Belgium,2017,81.29,6.39364116391417
BEL,Belgium,2017,81.29,0.0337939557353106
BEL,Belgium,2017,81.29,1.06349848331648
BEL,Belgium,2017,81.29,7.59188855184811
BTN,Bhutan,2013,67.28,2.98016066547719
BTN,Bhutan,2014,67.89,2.71240955592869
BTN,Bhutan,2015,68.3,2.82256256304901
BTN,Bhutan,2016,69.47,2.9157420080632
BTN,Bhutan,2017,69.83,2.86043059009003
BOL,Bolivia,2007,65,1.27439471132104
BOL,Bolivia,2007,65,3.2624957968225
BOL,Bolivia,2007,65,1.09864962824122
BOL,Bolivia,2007,65,1.06687107753087
BOL,Bolivia,2007,65,2.34126578885191
BOL,Bolivia,2007,65,0.124445216393106
BOL,Bolivia,2007,65,0.794676727414248
BOL,Bolivia,2007,65,0.992804695381086
BWA,Botswana,2017,64.49,4.2803111504565
BRA,Brazil,2010,72.4,0
BRA,Brazil,2010,72.4,1.85535002203838
BRA,Brazil,2010,72.4,1.85535002203838
BRA,Brazil,2010,72.4,1.85535002203838
BRA,Brazil,2011,72.64,0
BRA,Brazil,2011,72.64,1.86345108689664
BRA,Brazil,2011,72.64,1.86345108689664
BRA,Brazil,2011,72.64,1.86345108689664
BRA,Brazil,2012,73.1,0
BRA,Brazil,2012,73.1,1.90744464386233
BRA,Brazil,2012,73.1,1.90744464386233
BRA,Brazil,2012,73.1,1.90744464386233
BRA,Brazil,2013,73.44,0
BRA,Brazil,2013,73.44,1.88564382672607
BRA,Brazil,2013,73.44,1.88564382672607
BRA,Brazil,2013,73.44,1.88564382672607
BRA,Brazil,2014,73.62,0
BRA,Brazil,2014,73.62,1.96303718316918
BRA,Brazil,2014,73.62,1.96303718316918
BRA,Brazil,2014,73.62,1.96303718316918
BRA,Brazil,2015,73.89,0
BRA,Brazil,2015,73.89,2.03185870318387
BRA,Brazil,2015,73.89,2.03185870318387
BRA,Brazil,2015,73.89,2.03185870318387
BRA,Brazil,2016,74.4,0
BRA,Brazil,2016,74.4,2.14150880745372
BRA,Brazil,2016,74.4,2.14150880745372
BRA,Brazil,2016,74.4,2.14150880745372
BRA,Brazil,2017,74.68,0
BRA,Brazil,2017,74.68,2.09701293948946
BRA,Brazil,2017,74.68,2.09701293948946
BRA,Brazil,2017,74.68,2.09701293948946
BGR,Bulgaria,2007,72,2.36496749135138
BGR,Bulgaria,2007,72,0.643766117147051
BGR,Bulgaria,2007,72,2.20856966355883
BGR,Bulgaria,2007,72,4.0437132117673
BGR,Bulgaria,2008,73,2.18973729464319
BGR,Bulgaria,2008,73,0.737118397205081
BGR,Bulgaria,2008,73,2.16777621287034
BGR,Bulgaria,2008,73,4.4156874494669
BGR,Bulgaria,2009,73,2.3243453789836
BGR,Bulgaria,2009,73,0.572004127001284
BGR,Bulgaria,2009,73,1.82491973889837
BGR,Bulgaria,2009,73,3.95697462465393
BGR,Bulgaria,2010,73.32,2.63834203043417
BGR,Bulgaria,2010,73.32,0.593155617126943
BGR,Bulgaria,2010,73.32,2.21642838355654
BGR,Bulgaria,2010,73.32,4.40833868902647
BGR,Bulgaria,2011,73.41,2.74322452901719
BGR,Bulgaria,2011,73.41,0.491231476602487
BGR,Bulgaria,2011,73.41,1.86293310792025
BGR,Bulgaria,2011,73.41,4.13217087288914
BGR,Bulgaria,2012,73.51,2.98537097496228
BGR,Bulgaria,2012,73.51,0.5587538703298
BGR,Bulgaria,2012,73.51,1.97406361747446
BGR,Bulgaria,2012,73.51,4.35260395493726
BGR,Bulgaria,2013,74.16,3.30241453902776
BGR,Bulgaria,2013,74.16,0.633886081555536
BGR,Bulgaria,2013,74.16,1.93745493120694
BGR,Bulgaria,2013,74.16,4.51566131174869
BGR,Bulgaria,2014,74.31,3.73792444541079
BGR,Bulgaria,2014,74.31,1.00124913711236
BGR,Bulgaria,2014,74.31,2.30063243092312
BGR,Bulgaria,2014,74.31,5.4515960081993
BGR,Bulgaria,2015,74.47,3.54350327904941
BGR,Bulgaria,2015,74.47,1.21143709889674
BGR,Bulgaria,2015,74.47,2.28495961868894
BGR,Bulgaria,2015,74.47,5.30585738619697
BGR,Bulgaria,2016,75.41,3.51755294543474
BGR,Bulgaria,2016,75.41,0.641010588431464
BGR,Bulgaria,2016,75.41,2.20154415381511
BGR,Bulgaria,2016,75.41,4.95226196349199
BGR,Bulgaria,2017,74.47,3.56693043355477
BGR,Bulgaria,2017,74.47,0.619248760118122
BGR,Bulgaria,2017,74.47,1.85941841746743
BGR,Bulgaria,2017,74.47,4.85185142731608
BDI,Burundi,2010,50.43,2.98751760494705
BDI,Burundi,2011,50.87,2.42481860310959
BDI,Burundi,2012,49.88,2.63895933602907
BDI,Burundi,2013,50.34,2.38701491509508
CPV,Cabo Verde,2010,71.04,0.46978830107295
CPV,Cabo Verde,2010,71.04,2.37252140258729
CPV,Cabo Verde,2010,71.04,1.90273310151434
CPV,Cabo Verde,2011,71.31,2.40969841620049
CPV,Cabo Verde,2011,71.31,0.508670405907673
CPV,Cabo Verde,2011,71.31,1.90102801029281
CPV,Cabo Verde,2012,73.77,0.473376281620574
CPV,Cabo Verde,2012,73.77,2.36462930224835
CPV,Cabo Verde,2012,73.77,1.82871063693605
CPV,Cabo Verde,2013,73.92,0.532117185157933
CPV,Cabo Verde,2013,73.92,2.17580707340677
CPV,Cabo Verde,2013,73.92,1.57400451148693
CPV,Cabo Verde,2014,74.54,1.74617154550693
CPV,Cabo Verde,2014,74.54,0.583228090825864
CPV,Cabo Verde,2014,74.54,2.40194450758827
CPV,Cabo Verde,2015,74.87,0.5705568006831
CPV,Cabo Verde,2015,74.87,2.62477145059125
CPV,Cabo Verde,2015,74.87,1.97948599005552
CPV,Cabo Verde,2016,73.15,2.60326271449489
CPV,Cabo Verde,2016,73.15,1.96659864707226
CPV,Cabo Verde,2016,73.15,0.56466024672884
CPV,Cabo Verde,2017,73.36,2.45029173740118
CPV,Cabo Verde,2017,73.36,1.82507204220893
CPV,Cabo Verde,2017,73.36,0.62521969519225
CAN,Canada,2008,81,7.57120674744922
CAN,Canada,2009,81,8.47980123894729
CAN,Canada,2010,80.96,8.34291689074985
CAN,Canada,2011,81.22,8.21949389621451
CAN,Canada,2012,80.8,8.16215621598281
CAN,Canada,2013,80.93,8.1110917772508
CAN,Canada,2014,81.24,7.98702490052123
CAN,Canada,2015,81.4,8.29087624300344
CAN,Canada,2016,81.96,8.39546095229162
CAN,Canada,2017,82.14,8.21931374761111
CHL,Chile,2007,77,2.82806869369775
CHL,Chile,2007,77,0
CHL,Chile,2007,77,2.82806869369775
CHL,Chile,2007,77,2.82806869369775
CHL,Chile,2008,78,3.16155746204725
CHL,Chile,2008,78,3.16155746204725
CHL,Chile,2008,78,0
CHL,Chile,2008,78,3.16155746204725
CHL,Chile,2009,78,3.8192887120523
CHL,Chile,2009,78,0
CHL,Chile,2009,78,3.8192887120523
CHL,Chile,2009,78,3.8192887120523
CHL,Chile,2010,78.61,0
CHL,Chile,2010,78.61,3.63032084739454
CHL,Chile,2010,78.61,3.63032084739454
CHL,Chile,2010,78.61,3.63032084739454
CHL,Chile,2011,78.73,3.58910226286467
CHL,Chile,2011,78.73,3.58910226286467
CHL,Chile,2011,78.73,0
CHL,Chile,2011,78.73,3.58910226286467
CHL,Chile,2012,78.89,3.74501430654338
CHL,Chile,2012,78.89,3.74501430654338
CHL,Chile,2012,78.89,0
CHL,Chile,2012,78.89,3.74501430654338
CHL,Chile,2013,79.02,3.80507664774548
CHL,Chile,2013,79.02,3.80507664774548
CHL,Chile,2013,79.02,3.80507664774548
CHL,Chile,2013,79.02,0
CHL,Chile,2014,79.57,4.03818157341717
CHL,Chile,2014,79.57,4.03818157341717
CHL,Chile,2014,79.57,4.03818157341717
CHL,Chile,2014,79.57,0
CHL,Chile,2015,79.84,4.37748629801713
CHL,Chile,2015,79.84,0
CHL,Chile,2015,79.84,4.37748629801713
CHL,Chile,2015,79.84,4.37748629801713
CHL,Chile,2016,81.5,0
CHL,Chile,2016,81.5,4.49489956390403
CHL,Chile,2016,81.5,4.49489956390403
CHL,Chile,2016,81.5,4.49489956390403
CHL,Chile,2017,81.79,0
CHL,Chile,2017,81.79,4.73074548011652
CHL,Chile,2017,81.79,4.73074548011652
CHL,Chile,2017,81.79,4.73074548011652
CHN,China,2007,72,0.0143624714476832
CHN,China,2007,72,0.751234402909022
CHN,China,2007,72,0
CHN,China,2007,72,0.0143624714476832
CHN,China,2007,72,0.765596874356706
CHN,China,2007,72,0.0143624714476832
CHN,China,2008,73,0.973632774206859
CHN,China,2008,73,0.956658392995409
CHN,China,2008,73,1.25759445908126e-5
CHN,China,2008,73,0.0169743812114493
CHN,China,2008,73,0.0169743812114493
CHN,China,2008,73,0.0169618052668585
CHN,China,2009,74,0.0182899900240646
CHN,China,2009,74,1.20583308631664
CHN,China,2009,74,0.0182899900240646
CHN,China,2009,74,1.2241230763407
CHN,China,2009,74,0.0182778801528994
CHN,China,2010,73.12,0.0180170935694467
CHN,China,2010,73.12,0.0180077913668125
CHN,China,2010,73.12,1.23140445892317
CHN,China,2010,73.12,0.0180170935694467
CHN,China,2010,73.12,1.24942155249262
CHN,China,2011,73.31,0.0147322100858145
CHN,China,2011,73.31,0.0147322100858145
CHN,China,2011,73.31,0.0147322100858145
CHN,China,2011,73.31,0.90175915773448
CHN,China,2011,73.31,0.887026947648665
CHN,China,2012,73.27,0.0137817532934711
CHN,China,2012,73.27,0.876369253427879
CHN,China,2012,73.27,0.862587342446639
CHN,China,2012,73.27,0.0137817532934711
CHN,China,2012,73.27,0.0137817532934711
CHN,China,2013,73.49,0.012861592982027
CHN,China,2013,73.49,0.012861592982027
CHN,China,2013,73.49,0.881586341755873
CHN,China,2013,73.49,0.012861592982027
CHN,China,2013,73.49,0.868724748773846
CHN,China,2014,75.2,0
CHN,China,2014,75.2,0.906263256731316
CHN,China,2014,75.2,0.0133165372459515
CHN,China,2014,75.2,1.41941777838363
CHN,China,2014,75.2,0.0133165372459515
CHN,China,2014,75.2,0.0133165372459515
CHN,China,2015,75.35,1.59219770594375
CHN,China,2015,75.35,1.70460734079743
CHN,China,2015,75.35,1.71632692444713
CHN,China,2015,75.35,0.0117195836497074
CHN,China,2015,75.35,2.7814326333447
CHN,China,2015,75.35,0.0117195836497074
CHN,China,2016,75.78,1.41422224158979
CHN,China,2016,75.78,0.0124617552020121
CHN,China,2016,75.78,0.0124617552020121
CHN,China,2016,75.78,3.06549798736544
CHN,China,2016,75.78,1.65127574577565
